Lesson Code,Lesson Name,Teacher Name,Lesson Date,Lesson Hours,Lesson Credit
MATH411.01,MATHEMATICAL LOGIC,AYHAN GÜNAYDIN,📅 MMW,⏱️ 342,3 Cr 6 ECTS
MATH432.01,COMPLEX ANALYSIS II,CEM YALÇIN YILDIRIM,📅 TThTh,⏱️ 10910,3 Cr 6 ECTS
MATH475.01,DIFFERENTIAL GEOMETRY,YASEMİN KARA,📅 MMW,⏱️ 562,3 Cr 6 ECTS
MATH478.01,GROUPS&GEOMETRIES,N.SADIK DEĞER,📅 MTT,⏱️ 734,3 Cr 6 ECTS
MATH485.01,SEL.TOP.VALUATIONS&P-ADIC NUMBERS,KAZIM İLHAN İKEDA,📅 MMW,⏱️ 123,3 Cr 6 ECTS
MATH48C.01,SEL.TP.CATEGORY THEORY,OLCAY COŞKUN,📅 TTTh,⏱️ 121,3 Cr 6 ECTS
MATH490.01,PROJECT,ALP BASSA,,,3 Cr 6 ECTS
MATH490.02,PROJECT,N.SADIK DEĞER,,,3 Cr 6 ECTS
MATH490.03,PROJECT,TALİN BUDAK,,,3 Cr 6 ECTS
MATH490.04,PROJECT,BETÜL TANBAY,,,3 Cr 6 ECTS
MATH490.05,PROJECT,AYHAN GÜNAYDIN,,,3 Cr 6 ECTS
MATH521.01,ALGEBRA I,AYHAN GÜNAYDIN,📅 MMWW,⏱️ 5634,4 Cr 10 ECTS
MATH527.01,NUMBER THEORY,KAZIM İLHAN İKEDA,📅 MMWW,⏱️ 3412,4 Cr 10 ECTS
MATH531.01,REAL ANALYSIS I,BURAK GÜREL,📅 TTThTh,⏱️ 3434,4 Cr 10 ECTS
MATH571.01,TOPOLOGY,BETÜL TANBAY,📅 TTThTh,⏱️ 1212,4 Cr 10 ECTS
MATH579.01,GRADUATE SEMINAR,OLCAY COŞKUN,,,0 Cr 1 ECTS
MATH58L.01,SEL.TP.APPLICATIONS OF LIE GROUPS&LIE ALGEBRAS,N.SADIK DEĞER,📅 MMT,⏱️ 122,3 Cr 7 ECTS
MATH58N.01,SEL.TOP.MODEL THEORY OF FIELDS,ÖZLEM BEYARSLAN,📅 MMTh,⏱️ 565,3 Cr 7 ECTS
MATH58P.01,SEL.TP. P-ADIC GEOMETRY,KAZIM İLHAN İKEDA,📅 TTThTh,⏱️ 3434,3 Cr 7 ECTS
MATH590.01,READINGS IN MATHEMATICS,OLCAY COŞKUN,,,1 Cr 3 ECTS
MATH612.01,DIFFERENTIAL GEOMETRY II,CRAIG CHARLES VAN COEVERING,📅 TTThTh,⏱️ 7878,4 Cr 10 ECTS
MATH690.01,M.S. THESIS,ÖZLEM BEYARSLAN,,,0 Cr 60 ECTS
MATH690.02,M.S. THESIS,KAZIM İLHAN İKEDA,,,0 Cr 60 ECTS
MATH690.03,M.S. THESIS,FATİH ECEVİT,,,0 Cr 60 ECTS
MATH690.04,M.S. THESIS,ÇAĞRI KARAKURT,,,0 Cr 60 ECTS
MATH690.05,M.S. THESIS,EKİN ÖZMAN KARAKURT,,,0 Cr 60 ECTS
MATH690.06,M.S. THESIS,OLCAY COŞKUN,,,0 Cr 60 ECTS
MATH690.07,M.S. THESIS,CRAIG CHARLES VAN COEVERING,,,0 Cr 60 ECTS
MATH700.01,GRADUATE SEMINAR,OLCAY COŞKUN,,,0 Cr 1 ECTS
MATH790.01,Ph.D.THESIS,AYHAN GÜNAYDIN,,,0 Cr 120 ECTS
MATH790.02,Ph.D.THESIS,ALP BASSA,,,0 Cr 120 ECTS
MATH790.03,Ph.D.THESIS,ÇAĞRI KARAKURT,,,0 Cr 120 ECTS
ME207.01,PROBABILITY&STATISTICS FOR ME,ALİ ECDER,📅 MWW,⏱️ 556,3 Cr 5 ECTS
ME241.01,STATICS,CAN AYDINER,📅 MMW,⏱️ 782,3 Cr 5 ECTS
ME241.02,STATICS,GÜNAY ANLAŞ,📅 TThTh,⏱️ 667,3 Cr 5 ECTS
ME303.01,COMPUTER APPLICATIONS IN MECHANICAL ENG,MURAT ÇELİK,📅 MWW,⏱️ 256,3 Cr 5 ECTS
